ID,post_title,foto-padrao,informacoes-do-produto,modo-de-preparo,receita-padrao,receituario,total-da-massa-medida,video,video-passo-a-passo
1896,1000006 | IREKS LE PAIN BRIOCHE,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000006_ireks_le_pain_brioche-1-scaled.jpg,"Mistura pronta para preparo de brioche - O autêntico brioche francês - Delicioso sabor amanteigado - Textura suave, macia e fibrosa Dosagem: 100% | Embalagem: 10 kg (5 x 2 kg) | Adesivos: 50 adesivos","Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças sugerido: 120 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: esticar 3 peças e modelar em formato de trança Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 25 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos no meio da fermentação Total da massa crua: 3.320 g Total da massa assada: 2.988 g Rendimento: 9 brioches de aprox. 332 g cada Quebra: 10%","IREKS LE PAIN BRIOCHE (100%, ); Ovos (gelados) (30%, ); Margarina (com 80% de lipídios) (15%, ); Fermento fresco (6%, ); Água (gelada) (15%, )",https://www.ireks.com.br/fileadmin/sites/ireks-brasil/user_upload/IREKS_Receituario_Festival_Brioche_2024.pdf,3320,https://www.youtube.com/watch?v=dmw3is-b-rs,https://www.youtube.com/watch?v=dmw3is-b-rs
1902,1000067 | IREKS BRIOCHE C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000067_ireks_brioche_c50-1-scaled.jpg,"Mistura para preparo de brioche - O autêntico brioche francês - Delicioso sabor amanteigado - Textura suave, macia e fibrosa Dosagem: 50 % | Validade: 6 Meses | Embalagem: 20 kg (4 x 5 kg) | Adesivos: 200 adesivos",,,,,,
1910,1000381 IREKS BRIOCHE T C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000381_ireks_brioche_T_c50-1-scaled.jpg,"Mistura para preparo de brioche - O autêntico brioche francês - Delicioso sabor amanteigado - Textura suave, macia e fibrosa Dosagem: 50 % | Validade: 6 Meses | Embalagem: 20 kg (4 x 5 kg) | Adesivos: 200 adesivos",,,,,,
1929,1000079 | IREKS SUAVEMIX C20,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000079_ireks_pao_de_hamburguer-1.jpg,"Mistura para preparo de pães de massa suave - Aplicações: Pão de forma, pão de leite, pão p/ hambúrguer, pão p/ hot dog, pão sovado, bisnaguinhas e salgados assados Dosagem: 20% | Validade: 6 Meses | Embalagem : 10 kg (2 x 5 kg)",,,,,,
1933,1000036 | IREKS PÃO DOCE C33,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000036_ireks_pao_doce-1-scaled.jpg,"Mistura para preparo de pão doce - Ótimo dulçor e excelente volume - Possibilita uma infinidade de variações Dosagem: 33,3 % | Validade: 6 Meses | Embalagem: 20 kg (4 x 5 kg)",,,,,,
1939,1000201_1000770 | IREKS CHIPA C80,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000201_ireks_chipa-scaled.jpg,Mistura para preparo de chipa - Textura e sabor marcantes - Permite modelagem da massa com adição de diversos recheios Dosagem: 80% | Validade: 4 meses | Embalagem: 10 kg (5 x 2 kg) | Saco: 20 kg,,,,,https://www.youtube.com/watch?v=p-rLoNDNFW8&amp;list=PLhgz6R_DV9Lgm3s5RrKMFXDmGiCHMb9Qh&amp;index=16,
2059,1000652 | IREKS GRANO BRIOCHE,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000652_ireks_grano_brioche.png,"Mistura pronta para preparo de brioche - Com farinha integral - Fonte de fibras - Textura suave, macia e fibrosa Dosagem: 100% | Validade: 4 meses | Embalagem: 10 kg (5x2 kg) | Adevisos: 50 adesivos",,,,,,
2071,1000690 | IREKS SCHOKO BRIOCHE,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000690_schoko_brioche-1-scaled.jpg,"Mistura pronta para brioche chocolate - Com toque de chocolate - Textura, maciez e aroma que proporcionam uma experiência única Dosagem: 100% | Embalagem: 10 kg (5 x 2 kg) | Adesivos: 50 adesivos",,,https://receitas.ireks.com.br/wp-content/uploads/2024/01/Receituario_SchokoBrioche_Digital.pdf,,,https://www.youtube.com/watch?v=AaCRbR4gzp4&amp;list=PLhgz6R_DV9Lgm3s5RrKMFXDmGiCHMb9Qh&amp;index=17
2084,1000028 | IREKS PÃO AUSTRALIANO CLÁSSICO C100,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000028_ireks_pao_australiano_classico-1-scaled.jpg,Mistura pronta para preparo de pão australiano - Cor e aroma intensos - Coloração natural à base de malte Dosagem: 100% | Embalagem: 10 kg (5 x 2 kg) | Topping Cobertura | Adesivos: 50 adesivos,,,,,,
2092,1000040 | IREKS PÃO AUSTRALIANO S C100,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000040_ireks_pao_australiano_s-1-scaled.jpg,Mistura pronta para preparo de pão australiano com suave aroma de mel - Cor e aroma suaves - Coloração natural à base de malte Dosagem: 100% | Validade: 6 meses | Embalagem: 10 kg (5x2 kg) | Topping Cobertura | Adesivos: 50 adesivos,,,,,,
2096,1000129 | IREKS PÃO AUSTRALIANO S C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000129_ireks_pao_australiano_s_c50-1-scaled.jpg,Mistura para preparo de pão australiano - Cor e aroma suaves - Coloração natural à base de malte Dosagem: 100% | Validade: 6 meses | Embalagem: 10 kg (5x2 kg) | Adesivos: 100 adesivos,,,,,,
2102,1000003 | IREKS VENEZA,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000003_ireks_veneza-1-scaled.jpg,"Mistura pronta para preparo de especialidades italianas - Ideal para pães aromáticos, pizzas, focaccias, salgados, assados e folhados - Contém massa madre - Coloração natural à base de malte - Sabor marcante e único Dosagem: 100% | Validade: 6 meses | Embalagem: 10 kg (5x2 kg)",,,,,,
2336,1000032 | IREKS PÃO DE MANDIOQUINHA C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000032_ireks_pao_de_mandioquinha-1.jpg,Mistura para preparo de pão de mandioquinha - Macio e úmido - Permite uma infinidade de variações - Contém farinha de mandioquinha Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2339,1000026 | IREKS PÃO DE MILHO ESPECIAL C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000026_ireks_pao_de_milho_especial-1-scaled.jpg,Mistura para preparo de pão de milho Macio e úmido Permite uma infinidade de variações Contém erva-doce Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2342,1000027 | IREKS PÃO DE OVOS ESPECIAL C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000027_ireks_pao_de_ovos_especial-1.jpg,Mistura para preparo de pão de ovos Macio e úmido Permite uma infinidade de variações Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 140 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2345,1000070 | IREKS PÃO DE CENOURA C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000070_ireks_pao_de_cenoura-1-scaled.jpg,Mistura para preparo de pão de cenoura - Macio e úmido - Permite uma infinidade de variações - Contém cenoura em pó Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2348,1000087 | IREKS PÃO DE ABÓBORA C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000087_pao_de_abobora_bolinha-1-scaled.jpg,Mistura para preparo de pão de abóbora Macio e úmido Permite uma infinidade de variações Contém sementes de abóbora Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2351,1000058 | IREKS TOP MACIO,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000058_ireks_pao_de_hamburguer_top_macio-1-scaled.jpg,"Mistura para preparo de pães de massa suave - Excelente sabor, maciez e frescor por mais tempo - Aplicações: Pão de forma, pão de leite, pão p/ hambúrguer, pão p/ hot dog, pão sovado, bisnaguinhas e salgados assados Dosagem: 50% | Validade: 6 meses | Embalagem: 10 kg (2 x 5 kg)",,,,,,
