ID,nome_receita,ingredientes,modo-de-preparo,ingredientes_cobertura,ingredientes_decoracao,video_receita,ingredientes_recheio,ingredientes_finalizacao,total-da-massa,total-da_cobertura,total-da_decoracao,total-da_finalizacao,total-do_recheio
1819,Pão Brioche com IREKS BRIOCHE C50,"Farinha de trigo especial (50%, 5000g); IREKS BRIOCHE C50 (50%, 5000g); Ovos (30%, 3000g); Margarina (com 80% de lipídios) (15%, 1500g); Fermento fresco  (6%, 600g); Água (gelada) (15%, 1500ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 120 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: trança Fermentação: 90 minutos ou até obter o ponto (pincelar com ovos inteiros no meio da fermentação) Temperatura do forno: 180°C Tempo de forneamento: 25 minutos com vapor ou até obter o ponto Dica: dividir a massa em peças de 40 g e modelar em forma de mini brioches Rendimento: 46 brioches de 324 g cada Quebra: 10%",,,,,,16600,,,,
1823,Pão Brioche com IREKS BRIOCHE T C50,"Farinha de trigo especial (50%, 5000g); IREKS BRIOCHE T C50 (50%, 5000g); Ovos (30%, 3000g); Margarina (com 80% de lipídios) (15%, 1500g); Fermento fresco  (6%, 600 g); Água (gelada) (15%, 1500 ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 120 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: trança Fermentação: 90 minutos ou até obter o ponto (pincelar com ovos inteiros no meio da fermentação) Temperatura do forno: 180°C Tempo de forneamento: 25 minutos com vapor ou até obter o ponto Dica: dividir a massa em peças de 40 g e modelar em forma de mini brioches Rendimento: 46 brioches de 324 g cada Quebra: 10%",,,,,,16600,,,,
1828,Pão Grano Brioche com IREKS GRANO BRIOCHE C100,"IREKS GRANO BRIOCHE C100 (100%, 2000g); Ovos (gelados) (30%, 600g); Margarina (com 80% de lipídios) (15%, 300g); Fermento fresco  (6%, 120g); Água (gelada) (20%, 400ml)","Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 120 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: trança Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 25 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos no meio da fermentação Rendimento: 9 brioches de 324 g cada Quebra: 10%",,,,,,3420,,,,
1831,Schoko Brioche com IREKS SCHOKO BRIOCHE C100,"IREKS SCHOKO BRIOCHE C100 (100%, 2000g); Gotas de chocolate (congeladas) (30%, 600g); Ovos (gelados) (30%, 600g); Margarina (com 80% de lipídios) (15%, 300g); Fermento fresco  (6%, 120g); Água (gelada) (15%, 300ml)","Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e mais 2 minutos na velocidade 1 (para misturar as gotas de chocolate) Peso das peças sugerido: 140 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: esticar 3 peças e modelar em formato de trança Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 25 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos no meio da fermentação Total da massa crua: 3.920 g Total da massa assada: 3.528 g Rendimento: 9 pães de aprox. 392 g cada Quebra: 10%",,,https://www.youtube.com/watch?v=AaCRbR4gzp4&list=PLhgz6R_DV9Lgm3s5RrKMFXDmGiCHMb9Qh&index=17,,,3920,,,,
1834,Pão Australiano com IREKS PÃO AUSTRALIANO CLÁSSICO C100,"IREKS PÃO AUSTRALIANO CLÁSSICO C100 (100%, 2000g); Fermento fresco (6%, 120g); Água (gelada) (42%, 840ml)","Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 296 g ou no tamanho desejado Descanso das peças: 15 minutos, cobertas com plástico Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 25 minutos com vapor ou até obter o ponto Rendimento: 10 pães de 266 g cada Quebra: 10%",,,,,,2960,,,,
1837,Pão Australiano com IREKS PÃO AUSTRALIANO S C100,"IREKS PÃO AUSTRALIANO S C100 (100%, 2000g); Fermento fresco (6%, 120g); Água (gelada) (42%, 840ml)","Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 296 g ou no tamanho desejado Descanso das peças: 15 minutos, cobertas com plástico Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 25 minutos com vapor ou até obter o ponto Rendimento: 10 pães de 266 g cada Quebra: 10%",,,,,,2960,,,,
1840,Pão Australiano com IREKS PÃO AUSTRALIANO S C50,"Farinha de trigo especial (50%, 5000g); IREKS PÃO AUSTRALIANO S C50 (50%, 5000g); Fermento fresco (6%, 600g); Água (gelada) (42%, 4200ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 296 g ou no tamanho desejado Descanso das peças: 15 minutos, cobertas com plástico Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 25 minutos com vapor ou até obter o ponto Dica: umedecer a parte superior da massa na decoração que acompanha o produto Rendimento: 50 pães de 266 g cada Quebra: 10%",,,,,,14800,,,,
1843,Pão Veneza com IREKS VENEZA MM C100,"IREKS VENEZA MM C100 (100%, 5000 g); Azeite de oliva (3%, 150 g); Fermento fresco (3%, 150 g); Água (gelada) (50%, 2500ml)","Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 500 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: pão de forma Fermentação: 60 minutos ou até obter o ponto Temperatura do forno: 190°C Tempo de forneamento: 30 a 35 minutos com vapor ou até obter o ponto Dica: antes de fornear, polvilhar com queijo ralado (parmesão, provolone, gouda, etc.) Rendimento: 15 pães de 435 g cada Quebra: 13%",,,,,,7800,,,,
1846,Pão de Batata Especial com IREKS PÃO DE BATATA ESPECIAL C50,"Farinha de trigo especial (50%, 5000g); IREKS PÃO DE BATATA ESPECIAL C50 (50%, 5000g); Margarina (com 80% de lipídios) (5%, 500g); Fermento fresco (4,5%, 450g); Água (gelada) ( 45%, 4500ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 1.200 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: bola (dividir com auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos no meio da fermentação Rendimento: 386 pães de 35 g cada Quebra: 12%",,,,,,15450,,,,
1849,Pão de Mandioquinha com IREKS PÃO DE MANDIOQUINHA C50,"Farinha de trigo especial (50%, 5000g); IREKS PÃO DE MANDIOQUINHA C50 (50%, 5000g); Margarina (com 80% de lipídios) (5%, 500g); Fermento fresco (6%, 600g); Água (gelada) ( 40%, 4000ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 1.200 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: bolinha (dividir com o auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos inteiros no meio da fermentação Rendimento: 377 pães de 35 g cada Quebra: 12%",,,,,,15100,,,,
